ID,Genero,edad,Ingreso Anual,Tipo_gasto(1-10)
0083,Hombre,67,54,41
0084,Mujer,46,54,44
0085,Mujer,21,54,57
0086,Hombre,48,54,46
0087,Mujer,55,57,58
0088,Mujer,22,57,55
0089,Mujer,34,58,60
0090,Mujer,50,58,46
0091,Mujer,68,59,55
0092,Hombre,18,59,41
0093,Hombre,48,60,49
0094,Mujer,40,60,40
0095,Mujer,32,60,42
0096,Hombre,24,60,52
0097,Mujer,47,60,47
0098,Mujer,27,60,50
0099,Hombre,48,61,42
0100,Hombre,20,61,49
0101,Mujer,23,62,41
0102,Mujer,49,62,48
0103,Hombre,67,62,59
0104,Hombre,26,62,55
0105,Hombre,49,62,56
0106,Mujer,21,62,42
0107,Mujer,66,63,50
0108,Hombre,54,63,46
0109,Hombre,68,63,43
0110,Hombre,66,63,48
0111,Hombre,65,63,52
0112,Mujer,19,63,54
0113,Mujer,38,64,42
0114,Hombre,19,64,46
0115,Mujer,18,65,48
0116,Mujer,19,65,50
0117,Mujer,63,65,43
0118,Mujer,49,65,59
0119,Mujer,51,67,43
0120,Mujer,50,67,57
0121,Hombre,27,67,56
0122,Mujer,38,67,40
0123,Mujer,40,69,58
0124,Hombre,39,69,91
0125,Mujer,23,70,29
0126,Mujer,31,70,77
0127,Hombre,43,71,35
0128,Hombre,40,71,95
0129,Hombre,59,71,11
0130,Hombre,38,71,75
0131,Hombre,47,71,9
0132,Hombre,39,71,75
0133,Mujer,25,72,34
0134,Mujer,31,72,71
0135,Hombre,20,73,5
0136,Mujer,29,73,88
0137,Mujer,44,73,7
0138,Hombre,32,73,73
0139,Hombre,19,74,10
0140,Mujer,35,74,72
0141,Mujer,57,75,5
0142,Hombre,32,75,93
0143,Mujer,28,76,40
0144,Mujer,32,76,87
0145,Hombre,25,77,12
0146,Hombre,28,77,97
0147,Hombre,48,77,36
0148,Mujer,32,77,74
0149,Mujer,34,78,22
0150,Hombre,34,78,90
0151,Hombre,43,78,17
0152,Hombre,39,78,88
0153,Mujer,44,78,20
0154,Mujer,38,78,76
0155,Mujer,47,78,16
0156,Mujer,27,78,89
0157,Hombre,37,78,1
0158,Mujer,30,78,78
0159,Hombre,34,78,1
0160,Mujer,30,78,73
0161,Mujer,56,79,35
0162,Mujer,29,79,83
0163,Hombre,19,81,5
0164,Mujer,31,81,93
0165,Hombre,50,85,26
0166,Mujer,36,85,75
0167,Hombre,42,86,20
0168,Mujer,33,86,95
0169,Mujer,36,87,27
0170,Hombre,32,87,63
0171,Hombre,40,87,13
0172,Hombre,28,87,75
0173,Hombre,36,87,10
0174,Hombre,36,87,92
0175,Mujer,52,88,13
0176,Mujer,30,88,86
0177,Hombre,58,88,15
0178,Hombre,27,88,69
0179,Hombre,59,93,14
0180,Hombre,35,93,90
0181,Mujer,37,97,32
0182,Mujer,32,97,86
0183,Hombre,46,98,15
0184,Mujer,29,98,88
0185,Mujer,41,99,39
0186,Hombre,30,99,97
0187,Mujer,54,101,24
0188,Hombre,28,101,68
0189,Mujer,41,103,17
0190,Mujer,36,103,85
0191,Mujer,34,103,23
0192,Mujer,32,103,69
0193,Hombre,33,113,8
0194,Mujer,38,113,91
0195,Mujer,47,120,16
0196,Mujer,35,120,79
0197,Mujer,45,126,28
0198,Hombre,32,126,74
0199,Hombre,32,137,18
0200,Hombre,30,137,83
